domain,method,metric,low_bin,high_bin,low_value,high_value,delta_high_minus_low,degrades_with_uncertainty
sports,proex,NDCG@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.08770107441002749,0.06368077225434506,-0.024020302155682433,True
sports,proex,MRR,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.08487791423445501,0.0672892960538637,-0.017588618180591306,True
sports,proex,HR@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.178,0.1305,-0.04749999999999999,True
sports,proex,HR@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.095,0.071,-0.024000000000000007,True
sports,proex,HR@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.321,0.2445,-0.07650000000000001,True
sports,proex,NDCG@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.061243172816484254,0.04474645035836782,-0.016496722458116432,True
sports,proex,NDCG@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.12351760530029728,0.09218105398118595,-0.031336551319111325,True
sports,rlmrec,NDCG@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.11485164640075561,0.08615613888538218,-0.028695507515373433,True
sports,rlmrec,MRR,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.1121388209978915,0.08527312472006535,-0.02686569627782616,True
sports,rlmrec,HR@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.204,0.166,-0.03799999999999998,True
sports,rlmrec,HR@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.141,0.1065,-0.03449999999999999,True
sports,rlmrec,HR@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.321,0.2645,-0.056499999999999995,True
sports,rlmrec,NDCG@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.09455595294068132,0.06702989868840074,-0.02752605425228058,True
sports,rlmrec,NDCG@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.14374237475314203,0.11095328155142122,-0.03278909320172081,True
toys,ccrp_v3,NDCG@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.4811136795487115,0.17730746414928414,-0.3038062153994273,True
toys,ccrp_v3,MRR,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.4488202446173283,0.15996703913025723,-0.28885320548707105,True
toys,ccrp_v3,HR@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.618,0.3045,-0.3135,True
toys,ccrp_v3,HR@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.558,0.2145,-0.3435,True
toys,ccrp_v3,HR@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.683,0.4305,-0.25250000000000006,True
toys,ccrp_v3,NDCG@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.4617259889656861,0.1482633686512024,-0.3134626203144837,True
toys,ccrp_v3,NDCG@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.4974679733283926,0.20894689764595872,-0.2885210756824339,True
toys,llmemb,NDCG@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.36987016420018515,0.13524230970813814,-0.234627854492047,True
toys,llmemb,MRR,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.32192172511844,0.1229234550278181,-0.19899827009062193,True
toys,llmemb,HR@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.57,0.254,-0.31599999999999995,True
toys,llmemb,HR@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.457,0.168,-0.28900000000000003,True
toys,llmemb,HR@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.68,0.4,-0.28,True
toys,llmemb,NDCG@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.33329115691443795,0.10774303173084791,-0.22554812518359002,True
toys,llmemb,NDCG@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.3976036444193749,0.17183781338219467,-0.22576583103718023,True
toys,proex,NDCG@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.09947761682810603,0.07132246976920545,-0.028155147058900584,True
toys,proex,MRR,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.09785397742283428,0.07341214441953682,-0.024441833003297456,True
toys,proex,HR@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.1955,0.143,-0.05250000000000002,True
toys,proex,HR@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.106,0.0795,-0.026499999999999996,True
toys,proex,HR@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.3755,0.279,-0.09649999999999997,True
toys,proex,NDCG@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.07105396687971145,0.050962705437869966,-0.020091261441841486,True
toys,proex,NDCG@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.14477934610705653,0.10516266677320371,-0.03961667933385282,True
toys,rlmrec,NDCG@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.13387961915880253,0.096998807033433,-0.03688081212536953,True
toys,rlmrec,MRR,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.13761249322491304,0.09340594903871732,-0.04420654418619571,True
toys,rlmrec,HR@10,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.207,0.1855,-0.02149999999999999,True
toys,rlmrec,HR@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.1565,0.118,-0.038500000000000006,True
toys,rlmrec,HR@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.337,0.2965,-0.040500000000000036,True
toys,rlmrec,NDCG@5,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.11757860303203176,0.07536350769012705,-0.04221509534190471,True
toys,rlmrec,NDCG@20,"Q01 [0.199962,0.288812]","Q05 [0.394752,0.512475]",0.16543912737126584,0.12472620013335205,-0.040712927237913796,True
home,ccrp_v3,NDCG@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.17441087649482664,0.10543644753688713,-0.06897442895793951,True
home,ccrp_v3,MRR,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.163806852590364,0.10228061615601197,-0.06152623643435204,True
home,ccrp_v3,HR@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.274,0.1925,-0.08150000000000002,True
home,ccrp_v3,HR@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.208,0.1255,-0.08249999999999999,True
home,ccrp_v3,HR@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.3855,0.318,-0.0675,True
home,ccrp_v3,NDCG@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.15308545493570097,0.08386854108052723,-0.06921691385517374,True
home,ccrp_v3,NDCG@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.2021424480342687,0.13697731814789546,-0.06516512988637324,True
home,llmemb,NDCG@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.11601350518942499,0.08444460712077997,-0.03156889806864502,True
home,llmemb,MRR,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.10813615777154643,0.08227733795582995,-0.025858819815716486,True
home,llmemb,HR@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.219,0.171,-0.04799999999999999,True
home,llmemb,HR@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.1365,0.093,-0.04350000000000001,True
home,llmemb,HR@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.349,0.294,-0.05499999999999999,True
home,llmemb,NDCG@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.08962113400574677,0.0594360446589087,-0.03018508934683807,True
home,llmemb,NDCG@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.14857112570190265,0.11529684380940977,-0.033274281892492874,True
home,proex,NDCG@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.06474066562534998,0.052297423324127956,-0.012443242301222027,True
home,proex,MRR,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.06520707614746303,0.0586149223538912,-0.00659215379357183,True
home,proex,HR@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.1425,0.108,-0.03449999999999999,True
home,proex,HR@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.0705,0.061,-0.009499999999999995,True
home,proex,HR@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.271,0.215,-0.05600000000000002,True
home,proex,NDCG@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.04175030858593969,0.03731461304998993,-0.00443569553594976,True
home,proex,NDCG@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.09694496076716348,0.07898301802975735,-0.01796194273740613,True
home,rlmrec,NDCG@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.06886648190242807,0.053481328575886666,-0.015385153326541404,True
home,rlmrec,MRR,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.06958510127396758,0.05895034963700519,-0.01063475163696239,True
home,rlmrec,HR@10,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.149,0.1155,-0.03349999999999999,True
home,rlmrec,HR@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.0765,0.0595,-0.017,True
home,rlmrec,HR@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.2845,0.2295,-0.054999999999999966,True
home,rlmrec,NDCG@5,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.04564687832181162,0.035632142415297864,-0.010014735906513757,True
home,rlmrec,NDCG@20,"Q01 [0.199962,0.272277]","Q05 [0.33619,0.457756]",0.10247006472826789,0.0817159034289605,-0.02075416129930739,True
tools,ccrp_v3,NDCG@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.2082490053499817,0.12332757626813141,-0.08492142908185028,True
tools,ccrp_v3,MRR,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.19691303750189648,0.11715955031896787,-0.07975348718292861,True
tools,ccrp_v3,HR@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.3105,0.218,-0.0925,True
tools,ccrp_v3,HR@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.24,0.1455,-0.0945,True
tools,ccrp_v3,HR@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.4225,0.347,-0.07550000000000001,True
tools,ccrp_v3,NDCG@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.1855428060101214,0.10032374890130408,-0.08521905710881733,True
tools,ccrp_v3,NDCG@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.23620832586830712,0.15555363221573185,-0.08065469365257527,True
tools,llmemb,NDCG@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.14154946607297678,0.09719298920951745,-0.044356476863459324,True
tools,llmemb,MRR,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.1284683863451299,0.09009709420112187,-0.038371292144008015,True
tools,llmemb,HR@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.2615,0.1995,-0.062,True
tools,llmemb,HR@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.1645,0.121,-0.04350000000000001,True
tools,llmemb,HR@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.402,0.3335,-0.0685,True
tools,llmemb,NDCG@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.11044876832589116,0.07233324569568071,-0.03811552263021045,True
tools,llmemb,NDCG@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.17684418498798304,0.13061615762905338,-0.04622802735892967,True
tools,proex,NDCG@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.061017784616025576,0.0490720541466065,-0.011945730469419075,True
tools,proex,MRR,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.06459835319593683,0.05530434529851402,-0.009294007897422817,True
tools,proex,HR@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.1295,0.1075,-0.022000000000000006,True
tools,proex,HR@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.0675,0.0555,-0.012000000000000004,True
tools,proex,HR@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.256,0.2185,-0.037500000000000006,True
tools,proex,NDCG@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.04100830986551074,0.032516026995792494,-0.008492282869718246,True
tools,proex,NDCG@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.09266764356736647,0.07681142559513891,-0.015856217972227554,True
tools,rlmrec,NDCG@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.07644280798454688,0.0625345868725446,-0.01390822111200228,True
tools,rlmrec,MRR,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.08181941216480312,0.0654488695790933,-0.01637054258570983,True
tools,rlmrec,HR@10,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.14,0.1315,-0.008500000000000008,True
tools,rlmrec,HR@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.0875,0.068,-0.01949999999999999,True
tools,rlmrec,HR@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.259,0.2355,-0.02350000000000002,True
tools,rlmrec,NDCG@5,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.05977815725240796,0.04231963236543531,-0.01745852488697265,True
tools,rlmrec,NDCG@20,"Q01 [0.2,0.247873]","Q05 [0.311289,0.414158]",0.10601362923727993,0.08852757834768618,-0.01748605088959375,True
